ApplicantID,Gender,Age,MonthlyIncome,LoanAmount,CreditScore,EmploymentStatus,ExistingLoans,LoanTerm,PropertyArea,LoanApproved
1046,Female,34,87055,309438,396.0,Unemployed,4,360,Semi-Urban,0
1047,Female,51,107697,200528,847.0,Employed,0,180,Urban,1
1048,Male,44,126239,347698,866.0,Unemployed,2,180,Urban,0
1049,Female,55,124397,359066,518.0,Unemployed,2,360,Urban,0
1050,Female,54,143106,325553,484.0,Self-Employed,1,36,Rural,1
1051,Male,23,25355,250399,368.0,Unemployed,1,360,Urban,0
1052,Female,57,74120,272472,429.0,Self-Employed,4,60,Urban,0
1053,Male,46,94619,348783,866.0,Self-Employed,3,120,Semi-Urban,1
1054,Female,43,58342,281182,898.0,Employed,0,60,Urban,1
1055,Male,59,105992,331836,633.0,Employed,3,24,Urban,0
1056,Female,35,98860,139037,453.0,Employed,3,12,Rural,0
1057,Female,24,22257,259912,846.0,Employed,1,240,Semi-Urban,1
1058,Male,49,47364,235272,378.0,Self-Employed,1,120,Rural,0
1059,Male,42,44972,274135,878.0,Unemployed,1,36,Rural,0
1060,Male,45,131715,238487,712.0,Employed,3,12,Rural,1
1061,Male,33,46654,68074,845.0,Employed,0,12,Urban,1
1062,Male,38,100769,196621,468.0,Employed,1,240,Rural,1
1063,Male,53,101423,342107,882.0,Unemployed,2,24,Rural,0
1064,Male,36,49320,277434,814.0,Employed,0,24,Semi-Urban,1
1065,Male,22,40808,282679,613.0,Unemployed,2,24,Semi-Urban,0
1066,Female,55,72389,102265,331.0,Self-Employed,0,120,Semi-Urban,1
1067,Female,54,115690,66061,586.0,Self-Employed,1,60,Semi-Urban,1
1068,Male,50,138581,209882,893.0,Self-Employed,4,12,Rural,1
1069,Female,33,147927,163502,342.0,Unemployed,1,60,Semi-Urban,0
1070,Female,33,54773,334944,300.0,Employed,3,60,Urban,0
1071,Female,38,71168,428336,872.0,Employed,3,24,Rural,1
1072,Female,52,47747,306505,569.0,Employed,0,60,Semi-Urban,0
1073,Male,52,96396,157228,479.0,Employed,3,12,Rural,0
1074,Female,55,128374,256548,817.0,Employed,1,12,Semi-Urban,1
1075,Male,59,127692,340198,402.0,Unemployed,2,180,Rural,0
1076,Female,49,103692,226469,309.0,Self-Employed,1,36,Semi-Urban,1
1077,Female,49,77505,63233,882.0,Employed,0,120,Urban,1
1078,Female,36,105896,292277,389.0,Self-Employed,3,60,Semi-Urban,0
1079,Male,30,38135,206140,525.0,Unemployed,2,120,Rural,0
1080,Female,50,110887,377871,,Unemployed,4,120,Rural,0
1081,Male,45,142118,402754,508.0,Employed,2,120,Urban,0
1082,Female,59,116035,382597,396.0,Unemployed,2,240,Rural,0
1083,Male,40,67377,154135,373.0,Self-Employed,1,360,Urban,1
1084,Female,25,43554,469048,490.0,,4,180,Rural,0
1085,Male,21,82491,420608,355.0,Employed,0,120,Rural,1
1086,Male,50,75621,267314,852.0,Self-Employed,0,360,Urban,1
1087,Female,23,134667,63682,331.0,Employed,2,360,Rural,0
1088,Male,34,78283,204455,826.0,Employed,2,180,Rural,1
1089,Female,50,105140,370304,873.0,Self-Employed,3,12,Urban,1
1090,Female,24,36923,274404,583.0,Employed,4,240,Semi-Urban,0
1091,Female,38,67591,335810,793.0,Employed,2,60,Urban,1
1092,Female,57,82261,370961,486.0,,3,180,Rural,0
1093,Female,45,136149,141198,797.0,Unemployed,4,36,Semi-Urban,0
1094,Female,21,74336,477858,741.0,,0,360,Semi-Urban,1
1095,Female,35,94083,91830,429.0,Employed,3,120,Semi-Urban,0
1096,Female,29,80948,60234,591.0,Self-Employed,4,360,Urban,0
1097,Female,35,129819,107616,413.0,Employed,3,240,Semi-Urban,0
1098,Female,44,53002,321365,498.0,Employed,2,36,Semi-Urban,0
1099,Female,24,100098,192482,312.0,Self-Employed,1,12,Semi-Urban,1
1100,Male,32,136236,261127,570.0,Employed,0,12,Rural,1
1101,Male,57,93016,242485,,Unemployed,2,24,Urban,0
1102,Female,57,46672,51051,743.0,Employed,2,120,Urban,0
1103,Female,26,24213,422673,811.0,Self-Employed,4,24,Rural,0
1104,Female,59,30293,126918,746.0,Unemployed,3,240,Semi-Urban,0
1105,Female,44,119977,128116,373.0,Unemployed,0,36,Rural,0
1106,Female,31,75860,434370,836.0,Employed,2,360,Rural,1
1107,Female,33,82507,499779,400.0,Self-Employed,4,60,Semi-Urban,0
1108,Female,54,77134,278931,475.0,Employed,0,24,Semi-Urban,1
1109,Female,45,22100,356901,726.0,Employed,3,12,Urban,0
1110,Male,27,130153,433152,416.0,Self-Employed,2,120,Semi-Urban,0
1111,Female,24,81997,258547,465.0,Self-Employed,2,360,Rural,0
1112,Male,28,48172,494473,340.0,Employed,2,36,Rural,0
1113,Female,40,40132,276572,728.0,Unemployed,0,180,Semi-Urban,0
1114,Female,49,137861,181379,643.0,Employed,0,240,Urban,1
1115,Male,30,38199,106889,723.0,Unemployed,0,240,Rural,0
1116,Female,54,56609,276256,665.0,Employed,0,12,Semi-Urban,1
1117,Male,46,62965,348088,419.0,Self-Employed,4,180,Urban,0
1118,Female,23,28016,411699,528.0,Unemployed,1,240,Urban,0
1119,Female,26,59779,88134,429.0,Self-Employed,4,60,Rural,0
1120,Male,25,122797,470539,651.0,Self-Employed,2,360,Rural,1
1121,Female,25,51881,252834,617.0,Self-Employed,4,120,Urban,0
1122,Male,43,102594,277579,636.0,Self-Employed,3,360,Urban,0
1123,Female,29,44472,75954,572.0,Self-Employed,0,60,Urban,0
1124,Male,55,126882,236093,416.0,Employed,3,240,Semi-Urban,0
1125,Male,40,120462,402103,667.0,Unemployed,3,60,Rural,0
1126,Female,55,71813,276999,393.0,Employed,2,360,Urban,0
1127,Female,38,120368,260938,467.0,Employed,0,240,Rural,1
1128,Male,37,146731,251499,640.0,Employed,3,120,Rural,0
1129,Female,44,56021,317136,451.0,Self-Employed,2,120,Rural,0
1130,Female,23,74131,51961,885.0,Employed,0,180,Urban,1
1131,Female,52,44087,62497,573.0,Unemployed,1,60,Semi-Urban,0
1132,Male,55,32828,475767,853.0,Employed,2,36,Urban,0
1133,Male,58,81610,306446,795.0,Self-Employed,4,180,Rural,1
1134,Male,33,116664,498971,400.0,Unemployed,0,120,Urban,0
1135,Male,45,143619,325399,856.0,Unemployed,3,12,Urban,0
1136,Male,29,21401,185639,381.0,Unemployed,3,240,Rural,0
1137,Male,24,105179,360991,828.0,Unemployed,4,180,Rural,0
1138,Male,34,35193,285889,372.0,Employed,4,24,Urban,0
1139,Male,57,112389,229075,313.0,Self-Employed,3,36,Urban,0
1140,Male,54,64864,70389,,Unemployed,0,240,Urban,1
1141,Female,31,40307,225595,,Unemployed,2,180,Urban,0
1142,Male,23,122518,435946,431.0,Self-Employed,4,120,Semi-Urban,0
1143,Female,48,39611,373720,637.0,Employed,4,360,Urban,0
1144,Female,49,63791,356063,703.0,Unemployed,4,120,Semi-Urban,0
1145,Female,29,31950,263175,675.0,Employed,1,36,Rural,1
1146,Male,23,96240,53358,858.0,Employed,0,24,Semi-Urban,1
1147,Male,45,128647,400679,406.0,Employed,0,180,Rural,1
1148,Male,54,97403,302557,564.0,Employed,0,360,Semi-Urban,1
1149,Male,32,22745,257596,504.0,Unemployed,0,180,Rural,0
1150,Female,29,75243,304488,378.0,Unemployed,0,60,Urban,0
1151,Male,35,23866,155982,454.0,Employed,3,12,Semi-Urban,0
1152,Male,45,52245,278129,546.0,Employed,4,120,Semi-Urban,0
1153,Male,25,64724,317842,830.0,Self-Employed,3,180,Rural,1
1154,Male,31,148681,378953,,Self-Employed,1,180,Rural,1
1155,Male,54,91354,143079,453.0,Self-Employed,2,240,Semi-Urban,0
1156,Female,44,71374,105805,453.0,Unemployed,4,240,Rural,0
1157,Male,35,134397,212421,,Self-Employed,1,180,Urban,1
1158,Female,58,137480,257849,732.0,Unemployed,3,24,Semi-Urban,0
1159,Male,28,144577,493464,637.0,Unemployed,2,12,Urban,0
1160,Female,25,50116,387177,779.0,Unemployed,1,180,Semi-Urban,0
1161,Male,46,101029,288483,430.0,Unemployed,2,36,Urban,0
1162,Male,38,113574,410383,749.0,Self-Employed,1,120,Semi-Urban,1
1163,Female,26,40447,442551,572.0,Employed,3,60,Rural,0
1164,Female,57,50431,94041,887.0,Employed,2,240,Semi-Urban,0
1165,Female,33,37908,344098,476.0,Employed,1,36,Urban,0
1166,Male,48,49336,320146,348.0,Self-Employed,3,120,Semi-Urban,0
1167,Female,25,60992,381927,866.0,Employed,4,360,Urban,1
1168,Male,33,75350,157524,654.0,Self-Employed,3,240,Urban,1
1169,Male,37,89561,268306,607.0,,3,24,Urban,0
1170,Female,52,137254,437001,345.0,Self-Employed,4,240,Rural,0
1171,Female,49,71955,69738,601.0,Employed,3,12,Semi-Urban,0
1172,Male,23,81240,322847,707.0,Employed,4,12,Urban,1
1173,Male,54,40093,163776,488.0,Employed,4,120,Rural,0
1174,Female,47,26155,230494,428.0,Unemployed,4,36,Urban,0
1175,Female,33,66607,242971,860.0,Self-Employed,1,60,Semi-Urban,1
1176,Female,53,53487,455608,836.0,Unemployed,2,24,Rural,0
1177,Male,26,133194,356868,565.0,Self-Employed,1,120,Urban,1
1178,Male,44,75668,344443,417.0,Employed,4,360,Urban,0
1179,Male,39,40963,327785,763.0,Self-Employed,2,24,Urban,0
1180,Male,36,70124,391678,443.0,Self-Employed,2,12,Semi-Urban,0
1181,Male,48,72870,318449,741.0,Unemployed,4,180,Rural,0
1182,Male,53,76547,279334,499.0,Self-Employed,2,180,Rural,0
1183,Female,33,84110,330926,456.0,Employed,2,60,Rural,0
1184,Male,45,73554,390401,786.0,Self-Employed,1,24,Urban,1
1185,Male,56,40936,286371,433.0,Self-Employed,2,120,Rural,0
1186,Male,47,136895,127963,447.0,Self-Employed,4,60,Urban,0
1187,Female,58,24426,171987,635.0,Unemployed,0,240,Semi-Urban,0
1188,Male,27,108839,201638,370.0,Self-Employed,0,240,Rural,1
1189,Male,25,130816,174591,,Self-Employed,0,360,Urban,1
1190,Female,51,47606,117766,633.0,Unemployed,4,36,Rural,0
1191,Male,43,67832,56511,389.0,Unemployed,0,180,Rural,0
1192,Male,30,48151,164816,633.0,Unemployed,1,120,Semi-Urban,0
1193,Male,52,99303,299432,498.0,Unemployed,4,24,Rural,0
1194,Male,50,31308,469393,460.0,Employed,4,60,Semi-Urban,0
1195,Male,59,129781,316909,837.0,Employed,4,120,Rural,1
1196,Female,51,82522,201426,420.0,Self-Employed,2,60,Rural,0
1197,Female,38,143523,336073,600.0,Employed,2,60,Rural,0
1198,Female,56,65671,209892,874.0,Self-Employed,2,60,Rural,1
1199,Male,22,110306,161576,735.0,Employed,3,24,Rural,1
1200,Male,34,114108,472739,367.0,Unemployed,1,120,Rural,0
1201,Male,33,126984,121088,758.0,Unemployed,4,12,Semi-Urban,0
1202,Female,49,22204,127525,813.0,Employed,4,12,Semi-Urban,0
1203,Male,32,112769,63780,,Employed,2,24,Urban,1
1204,Male,59,107265,318733,585.0,Self-Employed,4,240,Rural,0
1205,Female,22,51131,478028,860.0,Self-Employed,4,24,Semi-Urban,0
1206,Male,52,72428,405808,439.0,Self-Employed,0,180,Rural,1
1207,Female,33,53870,489155,855.0,Unemployed,4,60,Rural,0
1208,Female,47,123547,494709,889.0,Unemployed,3,120,Semi-Urban,0
1209,Female,37,124918,154188,581.0,Unemployed,2,120,Rural,0
1210,Male,51,69067,143326,877.0,Unemployed,1,36,Semi-Urban,1
1211,Male,54,78585,353097,756.0,Self-Employed,1,36,Semi-Urban,1
1212,Male,44,127011,115785,386.0,Unemployed,0,360,Urban,0
1213,Male,55,132217,69309,378.0,Unemployed,1,12,Urban,0
1214,Male,26,41607,104195,504.0,Unemployed,1,36,Urban,0
1215,Male,39,44968,75901,636.0,Unemployed,2,36,Urban,0
1216,Male,50,118934,204648,553.0,Employed,2,12,Rural,0
1217,Female,27,31908,474724,603.0,Self-Employed,3,180,Rural,0
1218,Male,30,46423,75464,,Self-Employed,0,240,Urban,1
1219,Female,52,129151,328404,429.0,Unemployed,1,12,Semi-Urban,0
1220,Male,54,94707,174997,895.0,Employed,3,240,Semi-Urban,1
1221,Male,48,98257,347584,575.0,Self-Employed,0,360,Semi-Urban,1
1222,Male,35,146282,407226,857.0,Self-Employed,1,36,Semi-Urban,1
1223,Female,50,81215,417727,482.0,Unemployed,1,120,Rural,0
1224,Female,57,75835,106683,567.0,Unemployed,2,36,Semi-Urban,0
1225,Female,49,69429,436350,621.0,Self-Employed,4,60,Semi-Urban,0
1226,Female,42,102152,222502,811.0,Self-Employed,0,360,Urban,1
1227,Male,24,128048,445203,377.0,Employed,1,240,Semi-Urban,1
1228,Female,40,58458,206177,638.0,Self-Employed,0,240,Rural,0
1229,Male,52,66169,128484,855.0,Self-Employed,3,60,Semi-Urban,1
1230,Male,56,27659,299819,808.0,Unemployed,3,60,Semi-Urban,0
1231,Female,24,80614,456242,537.0,Self-Employed,4,180,Rural,0
1232,Female,47,128905,380453,433.0,Unemployed,1,24,Urban,0
1233,Female,37,97240,358071,491.0,Self-Employed,2,60,Rural,0
1234,Female,32,52793,256486,655.0,Self-Employed,1,240,Urban,1
1235,Female,42,133688,355090,577.0,Self-Employed,0,120,Semi-Urban,1
1236,Female,37,66473,438647,317.0,Employed,3,240,Urban,0
1237,Female,30,116762,499777,823.0,Unemployed,0,240,Urban,1
1238,Female,21,109388,191449,479.0,Employed,4,180,Urban,0
1239,Male,42,117618,103592,422.0,Self-Employed,3,24,Semi-Urban,0
1240,Female,46,108330,188419,545.0,Employed,2,24,Urban,0
1241,Female,38,126956,345920,672.0,Unemployed,3,60,Urban,0
1242,Male,34,138452,446999,350.0,Self-Employed,1,360,Semi-Urban,1
1243,Female,49,75751,105798,370.0,Employed,1,36,Rural,1
1244,Male,32,146311,185370,779.0,Employed,3,240,Rural,1
1245,Male,56,98915,382348,859.0,Unemployed,4,12,Rural,0
1246,Female,55,74254,398351,318.0,,1,36,Semi-Urban,1
1247,Male,32,27006,412500,383.0,Unemployed,1,36,Semi-Urban,0
1248,Male,27,138171,498377,,Self-Employed,2,24,Rural,0
1249,Male,49,136682,372796,864.0,Self-Employed,3,24,Urban,1
1250,Male,31,94218,477700,656.0,Employed,1,180,Rural,1
1251,Female,53,85344,441716,742.0,Self-Employed,4,180,Semi-Urban,1
1252,Male,26,53840,293767,368.0,Self-Employed,0,24,Urban,0
1253,Female,35,52430,70922,822.0,Employed,3,120,Urban,0
1254,Male,52,43091,477244,442.0,Self-Employed,2,120,Semi-Urban,0
1255,Male,31,146053,463532,491.0,Employed,1,12,Urban,1
1256,Male,43,52983,389140,686.0,Unemployed,4,24,Rural,0
1257,Male,46,43989,460184,677.0,Unemployed,3,60,Semi-Urban,0
1258,Female,54,95451,342410,880.0,Unemployed,4,180,Semi-Urban,0
1259,Female,54,128088,276817,834.0,Employed,4,24,Semi-Urban,1
1260,Male,49,38990,467216,592.0,Employed,2,120,Semi-Urban,0
1261,Male,24,110270,457227,308.0,Self-Employed,3,24,Urban,0
1262,Female,37,100360,52866,570.0,Self-Employed,1,120,Semi-Urban,1
1263,Male,55,139469,162669,686.0,Self-Employed,2,24,Semi-Urban,1
1264,Male,33,56081,318042,392.0,Self-Employed,1,240,Urban,0
1265,Male,59,31033,330539,828.0,Self-Employed,0,60,Semi-Urban,1
1266,Female,35,128272,220091,453.0,Employed,4,360,Urban,0
1267,Female,49,36241,316150,704.0,Employed,0,12,Urban,1
1268,Female,49,144932,215465,448.0,Unemployed,4,240,Semi-Urban,0
1269,Male,31,142451,323100,566.0,Unemployed,2,60,Rural,0
1270,Male,52,25939,493258,721.0,Unemployed,1,120,Semi-Urban,0
1271,Female,22,133000,449294,771.0,Unemployed,1,180,Rural,1
1272,Female,34,67562,472847,846.0,Employed,2,180,Urban,1
1273,Female,40,55063,407820,825.0,Employed,3,36,Rural,0
1274,Female,42,140373,171724,802.0,Employed,0,60,Semi-Urban,1
1275,Male,31,120000,112901,313.0,Self-Employed,0,24,Semi-Urban,1
1276,Female,47,96721,419371,663.0,Self-Employed,1,12,Rural,1
1277,Male,23,47045,250569,418.0,Unemployed,1,24,Semi-Urban,0
1278,Female,37,136634,167192,537.0,Self-Employed,1,24,Rural,1
1279,Male,48,64769,222646,845.0,Employed,2,60,Urban,1
1280,Female,49,67118,343561,468.0,Unemployed,3,360,Rural,0
1281,Female,41,104703,400164,821.0,Unemployed,0,12,Rural,1
1282,Female,36,121948,395783,815.0,Self-Employed,4,36,Rural,1
1283,Female,57,41625,144881,696.0,Unemployed,2,240,Rural,0
1284,Male,40,124724,292934,405.0,Self-Employed,0,24,Urban,1
1285,Female,26,148557,482670,384.0,,3,12,Urban,0
1286,Male,39,47076,182659,513.0,Unemployed,2,36,Urban,0
1287,Male,25,142245,171688,420.0,Self-Employed,0,240,Rural,1
1288,Male,23,84805,165584,431.0,Self-Employed,2,24,Urban,0
1289,Male,21,64605,235782,496.0,Self-Employed,0,12,Semi-Urban,1
1290,Female,58,104565,398711,318.0,Self-Employed,0,240,Urban,1
1291,Male,35,108509,272820,311.0,Unemployed,3,60,Rural,0
1292,Male,54,59121,388030,380.0,,4,360,Semi-Urban,0
1293,Male,55,85101,462032,629.0,Employed,3,180,Rural,0
1294,Female,45,51433,266896,691.0,Self-Employed,0,180,Semi-Urban,1
1295,Female,44,63309,341576,606.0,Self-Employed,2,24,Rural,0
1296,Female,32,87468,229689,566.0,Self-Employed,3,24,Rural,0
1297,Female,38,64254,384517,746.0,Employed,4,240,Semi-Urban,1
1298,Male,35,87293,215289,740.0,Self-Employed,0,12,Urban,1
1299,Male,36,116258,333028,301.0,Unemployed,3,180,Semi-Urban,0
1300,Female,47,57853,317598,819.0,,3,24,Semi-Urban,0
1301,Male,28,58405,124960,608.0,Unemployed,3,36,Semi-Urban,0
1302,Male,45,86652,152421,821.0,Employed,3,24,Semi-Urban,1
1303,Male,37,63527,288245,768.0,,2,180,Semi-Urban,1
1304,Female,49,97227,93618,511.0,Self-Employed,4,120,Rural,0
1305,Female,28,20492,97111,,Self-Employed,4,360,Rural,0
1306,Male,35,113418,482829,307.0,Employed,0,180,Urban,1
1307,Female,47,28811,266750,776.0,Employed,1,36,Urban,1
1308,Female,27,113344,170592,759.0,Employed,2,12,Semi-Urban,1
1309,Female,23,44272,284000,552.0,Employed,0,36,Urban,0
1310,Female,49,113935,305989,825.0,Unemployed,0,120,Urban,1
1311,Female,44,92010,372137,737.0,Employed,3,120,Semi-Urban,1
1312,Male,23,112492,178652,535.0,Employed,1,24,Rural,1
1313,Female,40,67153,452064,605.0,Employed,1,24,Rural,1
1314,Male,35,128042,128672,777.0,Self-Employed,2,180,Urban,1
1315,Male,45,74110,300351,319.0,Self-Employed,1,60,Rural,1
1316,Female,50,33979,378269,515.0,Self-Employed,0,360,Rural,0
1317,Male,34,130059,267516,434.0,Unemployed,1,36,Urban,0
1318,Male,27,128101,429653,428.0,Unemployed,1,180,Semi-Urban,0
1319,Male,37,48328,111602,709.0,Employed,4,60,Urban,0
1320,Female,40,132911,253117,721.0,Self-Employed,0,180,Urban,1
1321,Female,56,32867,287069,593.0,Unemployed,1,360,Urban,0
1322,Male,29,79234,92222,545.0,Self-Employed,1,360,Semi-Urban,1
1323,Female,58,45851,361367,855.0,,3,120,Semi-Urban,0
1324,Female,42,51279,291084,385.0,Unemployed,1,24,Semi-Urban,0
1325,Female,22,137431,292318,855.0,Employed,1,24,Semi-Urban,1
1326,Female,44,116063,115333,674.0,Employed,4,360,Urban,1
1327,Male,28,93402,233804,,Unemployed,0,180,Rural,1
1328,Male,31,35449,434794,677.0,Employed,2,360,Urban,0
1329,Female,33,96221,99420,689.0,Unemployed,0,24,Semi-Urban,1
1330,Female,37,109080,125504,350.0,Unemployed,3,12,Rural,0
1331,Male,28,25451,52462,541.0,Self-Employed,0,180,Urban,0
1332,Male,41,107178,321604,593.0,Employed,1,120,Rural,1
1333,Female,38,61316,149319,862.0,Employed,3,240,Semi-Urban,1
1334,Male,50,83064,306674,565.0,Employed,0,180,Rural,1
1335,Female,38,83761,190347,419.0,Self-Employed,3,180,Rural,0
1336,Female,51,125490,194341,547.0,Self-Employed,2,24,Semi-Urban,0
1337,Male,58,58870,179593,369.0,Self-Employed,0,120,Rural,0
1338,Male,52,116566,172672,356.0,Employed,1,180,Urban,1
1339,Female,31,143749,385064,681.0,Employed,3,24,Rural,1
1340,Female,45,143765,334697,338.0,Employed,4,360,Urban,0
1341,Male,53,144881,467582,742.0,Self-Employed,3,36,Rural,1
1342,Female,58,50873,94036,317.0,Self-Employed,4,120,Rural,0
1343,Male,28,148389,198441,651.0,Unemployed,1,60,Semi-Urban,1
1344,Female,31,78627,192867,597.0,Self-Employed,2,12,Semi-Urban,0
1345,Male,42,86155,120021,582.0,Unemployed,4,60,Urban,0
1346,Male,44,119186,419349,885.0,Employed,2,240,Semi-Urban,1
1347,Male,37,45372,211215,409.0,Self-Employed,3,360,Semi-Urban,0
1348,Female,32,23642,472641,479.0,Employed,1,120,Semi-Urban,0
1349,Female,52,149148,400353,843.0,Employed,4,180,Semi-Urban,1
1350,Male,35,48001,387283,324.0,Employed,3,24,Semi-Urban,0
1351,Female,36,54064,286304,,Employed,0,240,Urban,0
1352,Male,42,114826,55368,479.0,Self-Employed,3,120,Urban,0
1353,Male,48,34122,185693,531.0,Employed,2,12,Semi-Urban,0
1354,Female,40,44820,108829,,Unemployed,1,120,Semi-Urban,0
1355,Female,53,88431,441180,776.0,Self-Employed,1,240,Urban,1
1356,Male,30,75745,326863,875.0,Employed,3,24,Rural,1
1357,Female,52,70081,79227,754.0,Self-Employed,0,60,Urban,1
1358,Female,53,90902,159430,531.0,Unemployed,2,36,Rural,0
1359,Male,22,28711,450782,588.0,Employed,3,60,Semi-Urban,0
1360,Male,53,105132,62306,512.0,Unemployed,3,24,Semi-Urban,0
1361,Female,53,38793,103822,557.0,Employed,1,240,Urban,0
1362,Male,33,28199,74042,829.0,Unemployed,2,24,Semi-Urban,0
1363,Male,50,96253,458302,528.0,Employed,0,360,Rural,1
1364,Female,53,56191,198459,525.0,Self-Employed,1,12,Rural,0
1365,Male,33,30211,470258,895.0,Employed,3,120,Urban,0
1366,Male,46,131086,139424,734.0,Self-Employed,1,360,Rural,1
1367,Female,42,83069,232690,701.0,Employed,1,120,Urban,1
1368,Female,59,108896,273122,387.0,Employed,4,60,Urban,0
1369,Male,22,76746,199395,883.0,Unemployed,1,240,Rural,1
1370,Male,58,41542,68019,841.0,Unemployed,1,36,Rural,0
1371,Female,59,51312,387570,608.0,Unemployed,2,36,Rural,0
1372,Female,46,65242,90863,642.0,Employed,1,12,Rural,1
1373,Female,35,121971,161023,735.0,Employed,0,24,Rural,1
1374,Female,54,113783,191355,476.0,Employed,3,12,Rural,0
1375,Male,31,145681,461495,438.0,Self-Employed,2,120,Rural,0
1376,Female,23,107893,359143,493.0,Self-Employed,1,180,Semi-Urban,1
1377,Female,26,75388,112780,485.0,Employed,0,180,Urban,1
1378,Male,29,126581,335052,517.0,Unemployed,3,180,Urban,0
1379,Female,26,47691,242656,463.0,Unemployed,2,24,Rural,0
1380,Male,29,97960,438422,460.0,Unemployed,0,12,Urban,0
1381,Female,59,104388,425146,824.0,Employed,1,360,Rural,1
1382,Female,51,42601,493441,341.0,Unemployed,4,240,Semi-Urban,0
1383,Female,52,138307,219024,509.0,Employed,4,60,Urban,0
1384,Male,32,38020,150706,574.0,Self-Employed,2,120,Urban,0
1385,Male,28,28155,218735,578.0,Unemployed,0,180,Semi-Urban,0
1386,Female,28,89119,172019,550.0,Self-Employed,3,240,Semi-Urban,0
1387,Male,48,101051,421852,609.0,Unemployed,0,36,Semi-Urban,0
1388,Male,40,56777,242453,439.0,Employed,4,360,Urban,0
1389,Male,27,39710,229001,845.0,Employed,2,12,Urban,0
1390,Male,31,128714,321487,829.0,Employed,1,120,Semi-Urban,1
1391,Male,40,44532,388317,356.0,Employed,0,120,Semi-Urban,0
1392,Male,36,148727,150260,411.0,Unemployed,4,36,Semi-Urban,0
1393,Female,24,38601,220863,304.0,Self-Employed,3,360,Semi-Urban,0
1394,Female,26,83227,210206,709.0,Employed,2,36,Semi-Urban,1
1395,Male,42,24967,228173,713.0,Unemployed,1,36,Rural,0
1396,Female,46,104289,119443,481.0,Self-Employed,0,180,Semi-Urban,1
1397,Female,23,40022,280183,312.0,Employed,3,360,Rural,0
1398,Female,34,63463,369674,638.0,Self-Employed,1,180,Urban,1
